Property_ID;Area_SqFt;Rooms;Build_Year;Location;Street_Type;Furnishing;Property_Type;Has_Pool;Price
81;2473,117987;6;2006;Kanpur;Corner Plot;Unfurnished;Apartment;Yes;603065
82;2638,616312;7;2014;Gurugram;Main Road;Semi-Furnished;Independent House;Yes;823165
83;2883,083829;6;1990;Lucknow;Highway Facing;Furnished;Independent House;No;731411
84;3215,839182;7;2022;Gurugram;Corner Plot;Furnished;Independent House;No;920438
85;;6;2007;Noida;Gated Society;Semi-Furnished;Apartment;No;521253
86;2160,57928;7;2019;Delhi;Gated Society;Unfurnished;Duplex;No;723076
87;2404,13023;2;2018;Gurugram;Main Road;Semi-Furnished;Independent House;Yes;683072
88;2134,081994;;2021;Kanpur;Highway Facing;Furnished;Villa;Yes;661582
89;;5;2009;Delhi;Residential Lane;Unfurnished;Apartment;No;649645
90;1827,972839;7;2017;Jaipur;Main Road;Furnished;Duplex;No;598689
91;2656,17307;4;2023;Kanpur;Highway Facing;Semi-Furnished;Apartment;Yes;607511
92;2386,173024;6;2017;Jaipur;Highway Facing;Unfurnished;Apartment;No;578836
93;1599,735259;2;1988;Noida;Gated Society;Unfurnished;Apartment;No;387446
94;2907,83623;6;2013;Lucknow;Gated Society;Semi-Furnished;Independent House;Yes;806607
95;2427,389197;4;2011;Gurugram;Residential Lane;Furnished;Apartment;No;673112
96;1276,297395;4;1996;Indore;Residential Lane;Semi-Furnished;Apartment;No;315242
97;3180,18999;6;1992;Delhi;Corner Plot;Semi-Furnished;Apartment;No;804859
98;2018,899461;3;2020;Delhi;Main Road;Unfurnished;Independent House;Yes;631937
99;1269,144454;2;1993;Delhi;Gated Society;Semi-Furnished;Apartment;Yes;472178
100;2778,480907;7;1986;Gurugram;Residential Lane;Unfurnished;Independent House;No;717074
101;2459,428458;5;1990;Delhi;Main Road;Unfurnished;Apartment;Yes;636161
102;1830,142683;2;1991;Delhi;Main Road;Semi-Furnished;Duplex;No;546034
103;1463,204326;2;2016;Jaipur;Highway Facing;Furnished;Duplex;Yes;504457
104;1884,485896;6;2013;Indore;Highway Facing;Furnished;Villa;No;640564
105;2963,720248;5;2014;Jaipur;Corner Plot;Furnished;Duplex;No;745201
106;2117,567118;3;2003;Lucknow;Main Road;Furnished;Apartment;No;533862
107;2714,623116;2;1987;Gurugram;Gated Society;Semi-Furnished;Apartment;Yes;699320
108;2729,53488;5;1992;Indore;Highway Facing;Unfurnished;Duplex;Yes;693222
109;2048,304739;3;1991;Delhi;Gated Society;Furnished;Apartment;No;571059
110;1281,621455;3;1985;Lucknow;Highway Facing;Furnished;Apartment;No;365456
111;1343,853955;6;2021;Kanpur;Main Road;Semi-Furnished;Apartment;No;435202
112;2734,50248;2;2001;Indore;Residential Lane;Semi-Furnished;Apartment;No;559053
113;2293,975991;5;2010;Prayagraj;Residential Lane;Furnished;Apartment;No;553604
114;1303,723858;2;2021;Noida;Corner Plot;Furnished;Apartment;No;425004
115;2340,816354;5;1991;Delhi;Residential Lane;Semi-Furnished;Villa;No;746435
116;1179,867808;7;1985;Lucknow;Highway Facing;Furnished;Apartment;Yes;404564
117;1692,221715;2;2023;Kanpur;Residential Lane;Semi-Furnished;Duplex;No;438470
118;2172,605252;3;2020;Gurugram;Highway Facing;Unfurnished;Villa;No;647925
119;1935,932576;;1993;Delhi;Main Road;Semi-Furnished;Independent House;No;601040
120;1761,67671;3;2021;Gurugram;Residential Lane;Furnished;Apartment;Yes;549138
121;2565,055468;2;1996;Indore;Highway Facing;Semi-Furnished;Villa;No;670293
122;2907,447737;7;1992;Delhi;Corner Plot;Furnished;Duplex;Yes;912260
123;2436,290021;3;2005;Jaipur;Gated Society;Semi-Furnished;Apartment;No;588271
124;2092,198553;6;2002;Lucknow;Highway Facing;Furnished;Villa;No;660047
125;;4;2018;Gurugram;Residential Lane;Semi-Furnished;Apartment;No;584395
126;2426,913718;;2006;Noida;Main Road;Unfurnished;Independent House;No;643510
127;2245,256194;4;2023;Prayagraj;Main Road;Semi-Furnished;Independent House;Yes;652525
128;2705,905131;;1994;Jaipur;Corner Plot;Semi-Furnished;Apartment;Yes;610312
129;2034,801732;7;1988;Prayagraj;Main Road;Furnished;Duplex;No;595978
130;1675,597456;4;2021;Gurugram;Corner Plot;Semi-Furnished;Duplex;No;573055
131;2172,79496;6;2018;Lucknow;Corner Plot;Furnished;Duplex;Yes;716450
132;2841,906603;6;1994;Delhi;Residential Lane;Furnished;Duplex;Yes;880323
133;2457,709921;7;2007;Gurugram;Corner Plot;Unfurnished;Apartment;No;667335
134;2981,277336;7;2001;Indore;Highway Facing;Furnished;Apartment;Yes;753756
135;3496,557001;7;2021;Delhi;Highway Facing;Furnished;Independent House;Yes;1031661
136;2162,037617;2;1989;Noida;Corner Plot;;Apartment;No;496390
137;2181,780165;7;2021;Prayagraj;Corner Plot;Furnished;Duplex;Yes;740422
138;700;6;1987;Noida;Highway Facing;Unfurnished;Independent House;No;310136
139;2805,911193;5;2017;Indore;Main Road;Furnished;Apartment;Yes;735009
140;1689,451802;6;2015;Noida;Highway Facing;Furnished;Duplex;No;623800
141;1754,073244;3;2016;Gurugram;Main Road;Semi-Furnished;Apartment;Yes;557654
142;2078,341468;4;2014;Delhi;Residential Lane;Furnished;Independent House;Yes;689116
143;2296,550206;3;1988;Delhi;Corner Plot;Furnished;Independent House;No;657932
144;2857,275646;4;2002;Indore;Gated Society;Semi-Furnished;Independent House;No;686692
145;1262,202332;6;1995;Jaipur;Highway Facing;Furnished;Apartment;No;428089
146;2137,85452;5;2001;Delhi;Gated Society;Semi-Furnished;Apartment;Yes;644165
147;2334,090393;7;1995;Delhi;Corner Plot;Furnished;Independent House;No;728983
148;1184,275161;3;2022;Prayagraj;Highway Facing;Furnished;Independent House;Yes;422769
149;2722,776515;4;1992;Delhi;Main Road;Furnished;Apartment;Yes;739726
150;3094,585709;4;2013;Prayagraj;Corner Plot;Unfurnished;Apartment;Yes;642562
151;3100,962012;5;2020;Indore;Main Road;Furnished;Independent House;No;833192
152;2689,905946;4;1997;Prayagraj;Residential Lane;Semi-Furnished;Apartment;Yes;571063
153;2868,335255;5;2022;Gurugram;Highway Facing;Furnished;Apartment;No;775458
154;3521,114455;5;2017;Indore;Residential Lane;Furnished;Independent House;No;852194
155;2064,05244;2;1997;Kanpur;Residential Lane;Unfurnished;Apartment;Yes;421054
156;2705,616578;3;2024;Gurugram;Highway Facing;Furnished;Duplex;No;779556
157;2232,796703;3;1996;Noida;Corner Plot;Unfurnished;Apartment;No;503659
158;2262,993351;;2006;Gurugram;Main Road;Furnished;Apartment;No;626841
159;2557,654866;5;1997;Gurugram;Residential Lane;Furnished;Independent House;No;739390
160;2514,156656;6;2016;Noida;Residential Lane;Semi-Furnished;Apartment;No;664703
161;1930,665289;5;1994;Prayagraj;Gated Society;Semi-Furnished;Apartment;No;544813
162;2014,8575;6;2015;Indore;Corner Plot;Semi-Furnished;Independent House;No;593006
163;2215,728227;3;2016;Noida;Gated Society;Semi-Furnished;Independent House;No;673675
164;2924,31896;3;1996;Noida;Gated Society;Semi-Furnished;Apartment;No;702685
165;2471,716602;3;1998;Jaipur;Gated Society;;Independent House;No;610801
166;2498,980085;7;2023;Noida;Main Road;Semi-Furnished;Duplex;No;771345
167;2644,011219;2;2024;Lucknow;Gated Society;Furnished;Apartment;No;628098
168;2117,26908;3;2013;Kanpur;Main Road;Semi-Furnished;Apartment;No;516228
169;3025,417885;7;2004;Gurugram;Gated Society;Semi-Furnished;Independent House;No;876479
170;2588,966426;5;1999;Gurugram;Gated Society;Furnished;Duplex;No;802079
171;2023,107275;3;2013;Gurugram;Gated Society;Unfurnished;Apartment;No;538241
172;1876,180055;;2004;Indore;Highway Facing;Furnished;Duplex;No;532480
173;2703,980221;4;2007;Lucknow;Gated Society;Furnished;Duplex;No;749753
174;1797,023695;6;1985;Prayagraj;Gated Society;Unfurnished;Apartment;No;454562
175;2143,43571;3;2001;Jaipur;Main Road;;Duplex;No;600736
176;2808,039263;4;2015;Prayagraj;Gated Society;Semi-Furnished;Apartment;No;679814
177;2388,335271;2;2017;Indore;Gated Society;Unfurnished;Independent House;No;569691
178;2510,421643;6;2022;Kanpur;Highway Facing;Unfurnished;Villa;No;722076
179;2036,340073;4;1985;Kanpur;Main Road;Furnished;Independent House;Yes;597304
180;2844,36929;4;2013;Delhi;Main Road;Semi-Furnished;Apartment;No;773697
181;1546,332303;7;1994;Delhi;Highway Facing;Semi-Furnished;Duplex;No;591557
182;2249,284488;5;2020;Indore;Residential Lane;Semi-Furnished;Independent House;No;581606
183;2051,17006;;1999;Gurugram;Highway Facing;Furnished;Duplex;Yes;728523
184;;6;1988;Lucknow;Highway Facing;Unfurnished;Independent House;No;477505
185;1744,089556;7;2002;Prayagraj;Corner Plot;Unfurnished;Independent House;No;500679
186;1902,822799;2;2020;Kanpur;Main Road;Semi-Furnished;Independent House;No;510752
187;;;1993;Jaipur;Residential Lane;Furnished;Apartment;No;606210
188;2297,081202;2;2010;Lucknow;Residential Lane;;Duplex;No;573252
189;2765,861062;4;2020;Jaipur;Residential Lane;Furnished;Apartment;Yes;708111
190;2155,857525;6;2001;Prayagraj;Highway Facing;Semi-Furnished;Independent House;Yes;627133
191;1893,379518;6;2009;Gurugram;Gated Society;Semi-Furnished;Apartment;No;571752
192;3139,700503;4;2023;Kanpur;Highway Facing;Semi-Furnished;Apartment;No;691921
193;2293,018228;5;2024;Lucknow;Highway Facing;Semi-Furnished;Apartment;No;585872
194;2839,057981;6;1986;Lucknow;Highway Facing;Semi-Furnished;Apartment;No;616503
195;3129,300349;5;1987;Noida;Corner Plot;Semi-Furnished;Independent House;Yes;825744
196;2056,725791;7;2020;Prayagraj;Main Road;Furnished;Apartment;No;620294
197;2887,027353;5;2001;Indore;Corner Plot;Semi-Furnished;Apartment;No;650663
198;;7;2005;Kanpur;Residential Lane;Unfurnished;Duplex;Yes;568631
199;2285,485032;5;2018;Lucknow;Main Road;Furnished;Apartment;Yes;690971
200;1354,951543;2;1993;Gurugram;Corner Plot;Furnished;Duplex;No;448660
201;2400,915546;5;2021;Lucknow;Main Road;Furnished;Villa;No;781802
202;2705,492066;7;1998;Indore;Corner Plot;Unfurnished;Apartment;No;624964
203;2591,749319;3;2009;Delhi;Corner Plot;Semi-Furnished;Apartment;No;660279
204;2357,804586;7;2009;Noida;Gated Society;Furnished;Apartment;No;705924
205;2231,157459;5;1997;Lucknow;Residential Lane;Furnished;Duplex;No;626943
206;1288,961924;4;1989;Noida;Main Road;Furnished;Duplex;No;506229
207;2281,767101;2;2007;Gurugram;Gated Society;Furnished;Apartment;Yes;645451
208;2366,347343;5;2017;Jaipur;Main Road;Furnished;Apartment;No;618440
209;2469,849922;7;2023;Prayagraj;Corner Plot;Semi-Furnished;Independent House;No;664271
210;2409,197192;7;1998;Prayagraj;Gated Society;Furnished;Apartment;Yes;637727
211;1984,639357;6;1994;Indore;Gated Society;Furnished;Apartment;No;556562
212;5505,772234;5;1995;Lucknow;Gated Society;Semi-Furnished;Apartment;No;1284263,922
213;2842,519747;4;2013;Kanpur;Residential Lane;Unfurnished;Duplex;No;651321
214;2828,27955;5;2013;Noida;Residential Lane;Furnished;Villa;No;817116
215;2189,908039;4;2006;Jaipur;Main Road;Furnished;Independent House;No;638196
216;2452,984679;2;2007;Prayagraj;Main Road;Semi-Furnished;Independent House;No;565138
217;2132,342342;2;1989;Indore;Residential Lane;Semi-Furnished;Duplex;No;506117
218;1864,01056;3;1989;Kanpur;Residential Lane;Furnished;Apartment;No;440623
219;2533,922105;3;1999;Delhi;Corner Plot;Semi-Furnished;Villa;Yes;812307
220;2450,738275;7;1994;Lucknow;Highway Facing;Unfurnished;Independent House;No;667703
221;3040,657635;5;2018;Jaipur;Main Road;Unfurnished;Apartment;Yes;746659
222;1625,354943;5;2009;Lucknow;Corner Plot;Furnished;Apartment;Yes;469769
223;2369,073684;4;2016;Jaipur;Main Road;Furnished;Independent House;No;675517
224;1517,274551;7;1992;Kanpur;Corner Plot;Furnished;Apartment;No;458809
225;1744,345477;5;2013;Noida;Gated Society;Semi-Furnished;Apartment;No;558550
226;2192,638461;5;1997;Prayagraj;Gated Society;Semi-Furnished;Independent House;No;600130
227;2289,468499;2;2021;Noida;Residential Lane;Furnished;Apartment;Yes;597091
228;2085,037208;3;2018;Noida;Gated Society;Semi-Furnished;Independent House;Yes;644197
229;;6;1993;Kanpur;Residential Lane;Unfurnished;Apartment;No;418266
230;1768,305928;3;2004;Gurugram;Highway Facing;Unfurnished;Apartment;No;464564
231;3149,830118;7;2019;Kanpur;Gated Society;Furnished;Apartment;Yes;837376
232;1971,093298;2;1991;Kanpur;Highway Facing;Furnished;Independent House;No;461943
233;3223,723578;7;2008;Noida;Highway Facing;Furnished;Villa;No;981429
234;1749,990614;7;2008;Kanpur;Residential Lane;Semi-Furnished;Villa;No;592138
235;700;5;2014;Jaipur;Main Road;Furnished;Apartment;No;340017
236;3032,397359;4;2017;Lucknow;Corner Plot;Unfurnished;Apartment;No;677986
237;2831,075132;4;2023;Indore;Gated Society;Furnished;Apartment;No;708317
238;2277,487436;6;2003;Kanpur;Residential Lane;Unfurnished;Villa;No;605316
239;2482,480059;3;1989;Noida;Corner Plot;Furnished;Duplex;No;660858
240;2254,948049;5;1990;Kanpur;Corner Plot;Furnished;Apartment;Yes;579518
241;2170,44052;6;2014;Noida;Corner Plot;Furnished;Apartment;No;647913
242;1611,912173;2;1997;Delhi;Gated Society;Unfurnished;Apartment;No;417087
243;2779,181588;6;1988;Gurugram;Residential Lane;Semi-Furnished;Independent House;No;768052
244;2837,885185;7;2021;Noida;Gated Society;Semi-Furnished;Apartment;No;779435
245;1466,763479;2;2005;Delhi;Gated Society;Furnished;Apartment;No;530484
246;1795,974633;7;2017;Prayagraj;Gated Society;Unfurnished;Independent House;No;543491
247;2297,042855;2;2018;Kanpur;Residential Lane;Semi-Furnished;Apartment;Yes;523061
248;1953,39088;4;2023;Indore;Corner Plot;Semi-Furnished;Duplex;No;606991
249;2192,518441;6;2004;Lucknow;Corner Plot;Semi-Furnished;Apartment;No;584486
250;2001,739628;2;2024;Noida;Main Road;Furnished;Apartment;No;564119
251;2685,710377;2;2019;Lucknow;Main Road;Semi-Furnished;Apartment;Yes;639627
252;1453,428372;5;1994;Lucknow;Corner Plot;Unfurnished;Apartment;Yes;398487
253;2777,309798;7;2024;Lucknow;Corner Plot;Semi-Furnished;Apartment;No;684666
254;1338,88047;4;2024;Lucknow;Main Road;Furnished;Apartment;No;454958
255;2629,989621;6;1988;Kanpur;Highway Facing;Unfurnished;Villa;No;699816
256;;6;2005;Noida;Corner Plot;Unfurnished;Duplex;No;697713
257;1725,943792;6;2009;Lucknow;Main Road;Unfurnished;Apartment;Yes;507814
258;2361,366676;5;2013;Kanpur;Residential Lane;Furnished;Villa;No;696897
259;1469,634917;3;2006;Lucknow;Residential Lane;Furnished;Apartment;No;406431
260;2333,997875;4;2018;Jaipur;Residential Lane;Semi-Furnished;Independent House;No;599056
261;1364,853081;6;1995;Gurugram;Highway Facing;Furnished;Independent House;No;544063
262;2025,334741;5;2023;Lucknow;Corner Plot;Unfurnished;Apartment;Yes;534602
263;2076,659663;3;2009;Jaipur;Gated Society;Furnished;Apartment;Yes;574704
264;2482,649317;5;2001;Gurugram;Corner Plot;Semi-Furnished;Apartment;No;646509
265;2349,983786;4;2011;Kanpur;Corner Plot;Semi-Furnished;Apartment;No;557104
266;2919,168346;4;2004;Indore;Residential Lane;Unfurnished;Apartment;Yes;636259
267;2497,478072;5;2004;Kanpur;Main Road;Furnished;Villa;No;751072
268;2562,659322;7;2022;Lucknow;Main Road;Furnished;Apartment;Yes;731122
269;1163,139971;4;2019;Kanpur;Main Road;Furnished;Duplex;Yes;477632
270;2435,572129;7;2006;Jaipur;Gated Society;Unfurnished;Apartment;No;648987
271;1305,6939;7;2005;Prayagraj;Corner Plot;Furnished;Independent House;No;464099
272;2299,872765;2;1988;Noida;Main Road;Furnished;Independent House;No;638942
273;1583,767537;4;2010;Kanpur;Gated Society;Semi-Furnished;Independent House;Yes;519099
274;1642,069618;5;2012;Lucknow;Gated Society;Unfurnished;Apartment;Yes;506464
275;2085,802921;;1985;Kanpur;Main Road;Furnished;Apartment;No;428945
276;2643,610297;4;1985;Prayagraj;Main Road;Semi-Furnished;Independent House;No;620559
277;1491,628936;2;1997;Delhi;Main Road;Furnished;Apartment;No;412927
278;2029,935008;6;1993;Delhi;Main Road;Unfurnished;Independent House;No;610049
279;2307,456406;6;1995;Gurugram;Gated Society;Unfurnished;Apartment;Yes;679206
280;3014,312431;6;1996;Delhi;Gated Society;Semi-Furnished;Duplex;No;857208
281;2578,32483;7;2007;Jaipur;Main Road;Semi-Furnished;Independent House;No;722452
282;2052,308144;5;2002;Jaipur;Corner Plot;Semi-Furnished;Duplex;Yes;606174
283;1279,055655;2;2023;Prayagraj;Main Road;Semi-Furnished;Duplex;No;392299
284;2230,566558;4;1993;Lucknow;Highway Facing;Semi-Furnished;Apartment;No;554545
285;1570,950586;2;1996;Delhi;Gated Society;Semi-Furnished;Duplex;No;540125
286;1886,419766;2;2007;Kanpur;Corner Plot;Semi-Furnished;Duplex;No;501488
287;6170,583006;2;2022;Lucknow;Corner Plot;Unfurnished;Villa;No;1265986,684
288;1199,380639;3;2020;Indore;Residential Lane;Furnished;Apartment;No;340411
289;1669,57766;6;1994;Lucknow;Highway Facing;Furnished;Apartment;No;462381
290;1274,108994;7;1989;Indore;Corner Plot;Semi-Furnished;Independent House;No;420434
291;2215,3733;6;1988;Kanpur;Highway Facing;Semi-Furnished;Apartment;Yes;562495
292;1207,920218;6;2021;Prayagraj;Highway Facing;Unfurnished;Independent House;No;398436
293;1353,183414;7;1988;Delhi;Main Road;Semi-Furnished;Apartment;No;461020
294;2561,064667;4;2018;Gurugram;Residential Lane;Furnished;Apartment;No;664358
295;1111,385104;5;2008;Prayagraj;Residential Lane;Semi-Furnished;Apartment;No;329712
296;2805,527799;3;2003;Prayagraj;Corner Plot;Unfurnished;Independent House;Yes;688445
297;3115,44214;7;1996;Kanpur;Highway Facing;Semi-Furnished;Apartment;Yes;774294
298;2001,095097;3;1996;Gurugram;Highway Facing;Semi-Furnished;Apartment;No;544019
299;2171,389171;3;2020;Delhi;Highway Facing;Semi-Furnished;Independent House;No;672398
300;2780,831245;7;2011;Gurugram;Corner Plot;Unfurnished;Independent House;No;775968
301;1637,224729;7;1987;Prayagraj;Gated Society;Unfurnished;Apartment;No;423201
302;3276,385002;4;1987;Noida;Gated Society;Semi-Furnished;Villa;No;879204
303;1708,107548;2;2014;Gurugram;Residential Lane;Semi-Furnished;Villa;Yes;595748
304;2598,802683;2;1999;Indore;Gated Society;Unfurnished;Villa;Yes;716676
305;2392,044897;2;2018;Indore;Corner Plot;Semi-Furnished;Apartment;Yes;583847
306;1764,169043;5;1997;Noida;Gated Society;Unfurnished;Independent House;No;542807
307;1945,202074;3;2000;Noida;Residential Lane;Semi-Furnished;Independent House;No;525186
308;2434,5727;4;1992;Indore;Highway Facing;Furnished;Independent House;No;607920
309;2294,666755;;1997;Prayagraj;Highway Facing;Semi-Furnished;Apartment;No;581487
310;2204,380355;7;1994;Indore;Corner Plot;Semi-Furnished;Independent House;No;627455
311;1339,297647;6;2008;Kanpur;Corner Plot;Furnished;Villa;No;536364
312;2185,934128;7;2018;Noida;Highway Facing;Furnished;Apartment;Yes;657825
313;2588,749586;7;2022;Indore;Residential Lane;Semi-Furnished;Apartment;No;669520
314;2301,695449;3;1988;Jaipur;Highway Facing;Semi-Furnished;Duplex;No;552552
315;2414,755667;6;2001;Noida;Gated Society;Semi-Furnished;Independent House;No;712198
316;2487,234025;6;2021;Lucknow;Highway Facing;Unfurnished;Independent House;No;640407
317;1860,291458;4;2003;Noida;Main Road;Semi-Furnished;Duplex;No;575363
318;;3;1998;Delhi;Corner Plot;Unfurnished;Apartment;No;277504
319;1009,407162;3;2000;Kanpur;Highway Facing;Semi-Furnished;Independent House;No;339788
320;2556,475498;6;2018;Indore;Corner Plot;Semi-Furnished;Apartment;No;651971
321;1545,823459;7;1985;Lucknow;Highway Facing;Semi-Furnished;Apartment;No;457816
322;2222,505546;5;1994;Prayagraj;Residential Lane;Furnished;Apartment;Yes;538612
323;2080,080267;7;2001;Lucknow;Gated Society;Semi-Furnished;Duplex;No;604316
324;3309,84938;5;2012;Delhi;Corner Plot;Unfurnished;Apartment;No;806467
325;2069,267681;7;1991;Prayagraj;Main Road;Unfurnished;Independent House;Yes;589328
326;1518,491108;4;2020;Lucknow;Highway Facing;Furnished;Duplex;No;486913
327;2568,620944;6;2006;Indore;Highway Facing;Semi-Furnished;Duplex;Yes;735937
328;1859,036197;5;2007;Lucknow;Residential Lane;Unfurnished;Apartment;No;487759
329;3369,539574;4;1999;Kanpur;Main Road;Furnished;Independent House;No;804911
